version,N,nucleos,tiempo_promedio_segundos,tiempo_minimo_segundos,tiempo_maximo_segundos,tiempo_base_secuencial,speedup,eficiencia
openmp,10,4,0.0010046930001408327,0.0010046930001408327,0.0010046930001408327,0.0010126830002263887,1.007952678165804,0.251988169541451
openmp,10,8,0.0011814560002676444,0.0011814560002676444,0.0011814560002676444,0.0010126830002263887,0.8571482983682657,0.10714353729603321
openmp,10,16,0.0016343719998985762,0.0016343719998985762,0.0016343719998985762,0.0010126830002263887,0.6196159749978783,0.0387259984373674
openmp,11,1,0.001387353000609437,0.001387353000609437,0.001387353000609437,0.0017448260005039629,1.2576654966237828,1.2576654966237828
openmp,11,2,0.0020288120012992295,0.0020288120012992295,0.0020288120012992295,0.0017448260005039629,0.8600235011359333,0.43001175056796664
openmp,11,4,0.0016602380001131678,0.0016602380001131678,0.0016602380001131678,0.0017448260005039629,1.050949321955665,0.26273733048891623
openmp,11,8,0.0018054219999612542,0.0018054219999612542,0.0018054219999612542,0.0017448260005039629,0.9664366561066655,0.12080458201333319
openmp,11,16,0.001787945999240037,0.001787945999240037,0.001787945999240037,0.0017448260005039629,0.9758829412328995,0.06099268382705622
openmp,12,1,0.0016636910004308447,0.0016636910004308447,0.0016636910004308447,0.001953196999238571,1.1740142843429178,1.1740142843429178
openmp,12,2,0.002045417999397614,0.002045417999397614,0.002045417999397614,0.001953196999238571,0.9549133721389944,0.4774566860694972
openmp,12,4,0.0018807500000548316,0.0018807500000548316,0.0018807500000548316,0.001953196999238571,1.038520270733286,0.2596300676833215
openmp,12,8,0.0020457139999052742,0.0020457139999052742,0.0020457139999052742,0.001953196999238571,0.9547752028528977,0.11934690035661222
openmp,12,16,0.0023855569997977,0.0023855569997977,0.0023855569997977,0.001953196999238571,0.8187593083729319,0.05117245677330824
secuencial,5,1,0.0010818470000231173,0.0010818470000231173,0.0010818470000231173,0.0010818470000231173,1.0,1.0
secuencial,6,1,0.0014798390002397355,0.0014798390002397355,0.0014798390002397355,0.0014798390002397355,1.0,1.0
secuencial,7,1,0.0011366109993105056,0.0011366109993105056,0.0011366109993105056,0.0011366109993105056,1.0,1.0
secuencial,8,1,0.0009237959984602639,0.0009237959984602639,0.0009237959984602639,0.0009237959984602639,1.0,1.0
secuencial,9,1,0.0011184290015080478,0.0011184290015080478,0.0011184290015080478,0.0011184290015080478,1.0,1.0
secuencial,10,1,0.0010126830002263887,0.0010126830002263887,0.0010126830002263887,0.0010126830002263887,1.0,1.0
secuencial,11,1,0.0017448260005039629,0.0017448260005039629,0.0017448260005039629,0.0017448260005039629,1.0,1.0
secuencial,12,1,0.001953196999238571,0.001953196999238571,0.001953196999238571,0.001953196999238571,1.0,1.0
